scenario_id,domain,country,sim_id,status,agents_count,has_financial_twin,has_reasoning_trace,duration_s,errors,title
COM-2017-IPHONE_X,commercial,US,2722630c,completed,22,False,False,186,,iPhone X pricing controversy: $999 price point and consumer acceptance
COM-2019-TESLA_CYBERTRUCK_REVEAL_REACTI,commercial,US,756aef73,completed,23,False,False,236,,Public perception and market reaction following the 2019 Tesla Cybertruck reveal event
CORP-2015-DIESELGATE_PUBLIC_TRUST_IN_VW,corporate,DE,02a817b6,completed,23,False,False,332,,Public trust in Volkswagen following the 2015 diesel emissions scandal
CORP-2017-UBER_LONDON_LICENSE_BATTLE_201,corporate,GB,435c8f9c,completed,23,False,False,381,,Public and Regulatory Conflict over Uber's Operating License in London 2017-2019
CORP-2017-UNITED_AIRLINES_PASSENGER_DRAG,corporate,US,498738e6,completed,25,False,False,242,,Public perception of United Airlines following the forcible removal of passenger David Dao in April 2017
CORP-2018-AMAZON_HQ2_NYC_BACKLASH_2018_2,corporate,US,5196c58f,completed,23,False,False,195,,"Public Opinion Dynamics regarding Amazon's HQ2 Proposal in Long Island City, New York"
CORP-2019-BOEING_MAX,corporate,US,28d7b470,completed,22,False,False,195,,Boeing 737 MAX crisis: public trust collapse after two fatal crashes
CORP-2020-BOEING_737_MAX_RETURN_TO_SERVI,corporate,US,da107b2f,completed,22,False,False,195,,Public sentiment regarding the return to service of the Boeing 737 MAX aircraft following the 2019 grounding
CORP-2021-FACEBOOK_META_REBRAND_OCTOBER,corporate,US,a8d29d6c,completed,23,False,False,195,,Public sentiment shift following Facebook's corporate rebrand to Meta and the strategic pivot toward the Metaverse
CORP-2022-TWITTER_X_ACQUISITION_BY_ELON,corporate,US,e6554336,completed,22,False,False,196,,Public opinion dynamics regarding Elon Musk's acquisition of Twitter (X) in 2022
ENE-2012-JAPANESE_NUCLEAR_RESTART_AFTER,energy,JP,fff8e426,completed,25,False,False,195,,Public opinion dynamics regarding the restart of Japanese nuclear power plants following the 2011 Fukushima Daiichi disaster
ENV-2018-GRETA_THUNBERG_CLIMATE_STRIKES,environmental,SE,f1764138,completed,23,False,False,242,,Public opinion shift in Sweden regarding climate action during the rise of the Fridays for Future movement
FIN-2019-WEWORK_IPO_COLLAPSE_AND_PUBLIC,financial,US,ece43580,completed,22,True,False,243,,Public perception and investor sentiment during the 2019 WeWork IPO collapse
FIN-2020-TESLA_STOCK_SPLIT_AUGUST_2020,financial,US,8a832834,completed,23,True,False,243,,Investor sentiment dynamics surrounding the Tesla 5-for-1 stock split in August 2020
FIN-2021-ARCHEGOS_CAPITAL_COLLAPSE_MARC,financial,US,e943fd92,completed,23,True,False,254,,Market Confidence in Prime Brokerage Risk Management Following the Archegos Capital Management Collapse
FIN-2022-FTX_CRYPTO_CRISIS_NOVEMBER_202,financial,US,940821a5,completed,25,True,False,205,,US Public Sentiment Toward Cryptocurrency Following the FTX Exchange Collapse in November 2022
FIN-2023-SVB_COLLAPSE_MARCH_2023_BANKI,financial,US,e638abf0,completed,22,True,False,191,,Public confidence in the US banking sector following the collapse of Silicon Valley Bank in March 2023
LAB-2015-UBER_VS_TAXI_PROTESTS_FRANCE_2,labor,FR,f497cb48,completed,24,False,False,191,,Public opinion dynamics regarding the Uber vs traditional taxi industry conflict in France during 2015
PH-2021-ASTRAZENECA_VACCINE_HESITANCY,public_health,DE,765efb0b,completed,22,False,False,189,,Public willingness to receive the AstraZeneca COVID-19 vaccine in Germany during the first half of 2021
PH-2021-COVID_VAX_IT,public_health,IT,5a3f33a3,completed,22,False,False,189,,COVID-19 vaccine acceptance trajectory in Italy (Dec 2020 – Jun 2021)
